event_date,fighter1,fighter2,pass_stat_f1,pass_stat_f2,str_stat_f1,str_stat_f2,sub_stat_f1,sub_stat_f2,td_stat_f1,td_stat_f2,winner
December 21 1997,David Abbott,Yoji Anjo,1,0,13,9,0,1,3,0,David Abbott
December 21 1997,Tra Telligman,Brad Kohler,0,2,6,12,1,0,0,3,Tra Telligman
March 13 1998,Frank Shamrock,Igor Zinoviev,0,0,2,0,0,0,1,0,Frank Shamrock
March 13 1998,Tsuyoshi Kohsaka,Kimo Leopoldo,0,5,45,13,0,2,0,2,Tsuyoshi Kohsaka
March 13 1998,Pat Miletich,Chris Brennan,1,1,6,2,1,1,0,1,Pat Miletich
March 13 1998,Jerry Bohlander,Kevin Jackson,0,4,5,18,2,0,0,2,Jerry Bohlander
March 13 1998,Pat Miletich,Townsend Saunders,2,0,18,13,1,0,0,2,Pat Miletich
March 13 1998,Mikey Burnett,Eugenio Tadeu,0,0,42,6,1,0,1,0,Mikey Burnett
May 15 1998,Frank Shamrock,Jeremy Horn,0,6,20,14,3,0,0,5,Frank Shamrock
May 15 1998,Pete Williams,Mark Coleman,0,1,22,26,1,0,0,3,Pete Williams
May 15 1998,Dan Henderson,Carlos Newton,1,1,28,20,0,1,3,2,Dan Henderson
May 15 1998,David Abbott,Hugo Duarte,0,1,11,0,0,0,0,1,David Abbott
May 15 1998,Mike van Arsdale,Joe Pardo,5,0,27,4,1,1,1,0,Mike van Arsdale
May 15 1998,Carlos Newton,Bob Gilstrap,2,0,1,0,3,0,1,0,Carlos Newton
October 16 1998,Frank Shamrock,John Lober,1,3,23,4,4,1,0,3,Frank Shamrock
October 16 1998,Vitor Belfort,Wanderlei Silva,0,0,7,1,0,0,0,0,Vitor Belfort
May 15 1998,Dan Henderson,Allan Goes,0,0,31,36,1,0,1,0,Dan Henderson
October 16 1998,Pedro Rizzo,David Abbott,0,0,24,16,0,0,0,1,Pedro Rizzo
October 16 1998,Pat Miletich,Mikey Burnett,0,0,19,24,0,2,1,2,Pat Miletich
October 16 1998,Tsuyoshi Kohsaka,Pete Williams,8,2,14,13,5,0,3,0,Tsuyoshi Kohsaka
October 16 1998,Ebenezer Fontes Braga,Jeremy Horn,0,0,9,3,1,0,1,0,Ebenezer Fontes Braga
January 08 1999,Bas Rutten,Tsuyoshi Kohsaka,0,2,31,23,0,0,0,3,Bas Rutten
January 08 1999,Pat Miletich,Jorge Patino,0,1,27,19,0,1,3,1,Pat Miletich
January 08 1999,Pedro Rizzo,Mark Coleman,0,0,16,25,0,0,0,2,Pedro Rizzo
January 08 1999,Tito Ortiz,Jerry Bohlander,4,0,37,9,0,0,6,0,Tito Ortiz
January 08 1999,Mikey Burnett,Townsend Saunders,0,0,42,34,1,0,0,0,Mikey Burnett
January 08 1999,Evan Tanner,Darrel Gholar,1,2,24,4,4,0,1,1,Evan Tanner
January 08 1999,Laverne Clark,Frank Caracci,3,0,15,0,0,1,2,0,Laverne Clark
